SAMPLES,Baya.C,Baya.C.GEBV,Baya.H,Baya.H.GEBV,Baya.L,Baya.L.GEBV,PriBrote.C,PriBrote.C.GEBV,PriBrote.H,PriBrote.H.GEBV,PriBrote.L,PriBrote.L.GEBV,PriFlor.C,PriFlor.C.GEBV,PriFlor.H,PriFlor.H.GEBV,PriFlor.L,PriFlor.L.GEBV,PriTuber.C,PriTuber.C.GEBV,PriTuber.H,PriTuber.H.GEBV,PriTuber.L,PriTuber.L.GEBV,Pulpa.C,Pulpa.C.GEBV,Pulpa.H,Pulpa.H.GEBV,Pulpa.L,Pulpa.L.GEBV,SecBrote.C,SecBrote.C.GEBV,SecBrote.H,SecBrote.H.GEBV,SecBrote.L,SecBrote.L.GEBV,SecTuber.C,SecTuber.C.GEBV,SecTuber.H,SecTuber.H.GEBV,SecTuber.L,SecTuber.L.GEBV,Tallo.C,Tallo.C.GEBV,Tallo.H,Tallo.H.GEBV,Tallo.L,Tallo.L.GEBV
15061731,46.013,48,117.605,118,58.98139,66,31.51,41,311.08,347,35.4,35,52.529,49,324.089,320,45.065,54,19.166,43,214.646,355,40.529,51,17.151,18,88.087,90,86.598,84,11.691,7,170.749,318,85.978,95,35.642,36,61.831,83,70.382,79,27.367,16,245.976,359,39.908,28
15061655,44.263,48,119.776,118,60.59493,66,39.818,55,312.006,329,40.566,36,44.946,36,312.353,309,60.442,66,30.52,47,86.767,85,52.262,76,23.119,18,91.825,90,85.427,84,6.795,4,258.115,41,95.542,94,36.597,29,87.036,17,65.724,50,38.62,44,165.233,117,50.23,54
15061661,44.263,38,116.076,132,56.0461,53,37.046,40,318.921,308,34.49,38,50.598,36,319.545,319,45.796,67,27.812,36,159.957,346,45.156,42,8.076,3,72.927,32,90.561,92,5.908,7,264.02,318,97.304,96,31.59,41,105.299,86,73.046,80,41.338,44,120.389,117,52.741,54
15061499,46.013,59,114.583,106,61.16898,69,22.828,26,307.234,314,28.973,33,50.08,36,321.559,309,46.618,66,37.446,41,86.412,86,62.062,80,20.516,18,88.079,90,85.535,84,6.19,7,254.946,318,95.204,96,35.607,39,57.206,17,47.887,43,44.73,44,112.58,117,55.049,54
15061647,44.263,44,114.892,117,60.80762,54,27.814,28,309.918,306,28.782,27,43.597,45,311.77,305,56.764,52,36.876,47,76.016,85,52.514,76,17.787,6,88.074,71,84.751,92,6.254,4,184.816,41,94.879,94,35.633,28,81.942,345,60.427,30,41.7,44,117.254,117,53.739,54
15061612,44.263,44,117.019,117,56.77396,54,25.68,26,301.955,314,27.427,33,38.841,58,321.002,322,46.19,43,35.404,41,106.9,86,49.436,80,11.038,6,80.017,71,90.483,92,4.706,7,252.418,318,96.573,95,28.728,33,187.142,324,41.687,31,35.571,16,222.235,359,44.788,28
15061742,46.013,32,114.454,111,61.03908,63,26.395,20,306.544,307,27.191,26,50.08,57,321.559,327,46.618,45,37.446,35,86.752,83,62.485,75,20.516,6,88.079,71,85.535,92,6.19,4,240.304,41,95.204,94,35.658,37,64.711,18,51.946,42,44.73,44,110.562,117,55.094,54
15061710,42.448,59,116.513,106,58.59729,69,24.737,20,316.058,307,27.295,26,47.446,57,318.856,327,46.271,45,15.277,8,237.562,313,32.788,29,34.061,42,92.845,96,83.084,80,5.404,7,288.741,318,93.887,96,37.318,41,86.506,85,73.83,79,25.315,16,245.94,359,38.504,28
15062372,46.013,44,116.916,117,58.86437,54,34.99,28,316.189,306,24.71,27,53.254,35,319.157,303,50.02,65,29.619,16,220.204,359,42.829,28,24.89,26,87.289,94,83.797,84,7.186,7,226.978,318,94.9,96,32.913,35,129.535,83,74.612,75,37.282,44,117.126,117,52.063,54
15061583,44.263,44,116.076,117,55.97871,54,37.046,39,318.921,308,34.49,54,50.598,48,319.545,315,45.796,59,27.812,26,153.823,342,45.156,50,8.076,6,72.071,71,90.561,92,5.908,7,264.02,318,97.304,96,31.59,18,105.299,90,73.046,84,41.338,44,123.711,117,52.968,54
