qqPrefix,HCL_component,Models,Traits,Heritability
CBaya,C,BA,CBaya.C,0.25049100828645
CBaya,C,BA,CBaya.C,0.186687828564854
CBaya,C,BA,CBaya.C,0.16493111904794
CBaya,C,BA,CBaya.C,0.193134338004335
CBaya,C,BA,CBaya.C,0.156903882323631
CBaya,C,BA,CBaya.C,0.183221082408689
CBaya,C,BA,CBaya.C,0.182894368415089
CBaya,C,BA,CBaya.C,0.164079041508924
CBaya,C,BA,CBaya.C,0.182519379127809
CBaya,C,BA,CBaya.C,0.170585408102165
CBaya,C,BA,CBaya.C,0.154795088198738
CBaya,C,BA,CBaya.C,0.142200560897916
CBaya,C,BA,CBaya.C,0.167107875812498
CBaya,C,BA,CBaya.C,0.180216305782711
CBaya,C,BA,CBaya.C,0.145620764082009
CBaya,C,BA,CBaya.C,0.204913253970121
CBaya,C,BA,CBaya.C,0.183040545123356
CBaya,C,BA,CBaya.C,0.164058368511283
CBaya,C,BA,CBaya.C,0.186693674273644
CBaya,C,BA,CBaya.C,0.218111251509372
CBaya,C,BA,CBaya.C,0.227284084772621
CBaya,C,BA,CBaya.C,0.18684133402695
CBaya,C,BA,CBaya.C,0.17587145074494
CBaya,C,BA,CBaya.C,0.175575318543081
CBaya,C,BA,CBaya.C,0.168357251085602
CBaya,C,BA,CBaya.C,0.201431079272768
CBaya,C,BA,CBaya.C,0.133781140378499
CBaya,C,BA,CBaya.C,0.166012721853333
CBaya,C,BA,CBaya.C,0.164628018065363
CBaya,C,BA,CBaya.C,0.123964230331706
CBaya,C,BA,CBaya.C,0.147675942802579
CBaya,C,BA,CBaya.C,0.147488429821285
CBaya,C,BA,CBaya.C,0.144696157117175
CBaya,C,BA,CBaya.C,0.168991761946379
CBaya,C,BA,CBaya.C,0.159244715096004
CBaya,C,BA,CBaya.C,0.159629730904983
CBaya,C,BA,CBaya.C,0.195118903341298
CBaya,C,BA,CBaya.C,0.15328437893575
CBaya,C,BA,CBaya.C,0.124983506767743
CBaya,C,BA,CBaya.C,0.132880521571933
CBaya,C,BA,CBaya.C,0.141999049758525
CBaya,C,BA,CBaya.C,0.146805269501702
CBaya,C,BA,CBaya.C,0.18120278478462
CBaya,C,BA,CBaya.C,0.170855706668
CBaya,C,BA,CBaya.C,0.170633756862494
CBaya,C,BA,CBaya.C,0.227002780745745
CBaya,C,BA,CBaya.C,0.239372540846403
CBaya,C,BA,CBaya.C,0.27938364150894
CBaya,C,BA,CBaya.C,0.265529877815043
CBaya,C,BA,CBaya.C,0.248213597901403
CBaya,C,BA,CBaya.C,0.234991681645966
CBaya,C,BA,CBaya.C,0.154642871287193
CBaya,C,BA,CBaya.C,0.16696344936383
CBaya,C,BA,CBaya.C,0.180388735443967
CBaya,C,BA,CBaya.C,0.177099737568219
CBaya,C,BA,CBaya.C,0.178552939748598
CBaya,C,BA,CBaya.C,0.141533847478259
CBaya,C,BA,CBaya.C,0.143742099184227
CBaya,C,BA,CBaya.C,0.181899081178896
CBaya,C,BA,CBaya.C,0.228672150139432
CBaya,C,BA,CBaya.C,0.224156818083633
CBaya,C,BA,CBaya.C,0.256012577130652
CBaya,C,BA,CBaya.C,0.271146462501309
CBaya,C,BA,CBaya.C,0.244190862230368
CBaya,C,BA,CBaya.C,0.224501939106739
CBaya,C,BA,CBaya.C,0.208053227567121
CBaya,C,BA,CBaya.C,0.216940959403912
CBaya,C,BA,CBaya.C,0.164738061962478
CBaya,C,BA,CBaya.C,0.151098887085945
CBaya,C,BA,CBaya.C,0.14759448954233
CBaya,C,BA,CBaya.C,0.144127641036013
CBaya,C,BA,CBaya.C,0.182754941634588
CBaya,C,BA,CBaya.C,0.179815995252154
CBaya,C,BA,CBaya.C,0.187111382133539
CBaya,C,BA,CBaya.C,0.162953981874871
CBaya,C,BA,CBaya.C,0.195669176954648
CBaya,C,BA,CBaya.C,0.195280618659139
CBaya,C,BA,CBaya.C,0.211814016449468
CBaya,C,BA,CBaya.C,0.208016587462405
CBaya,C,BA,CBaya.C,0.170436741138624
CBaya,C,BA,CBaya.C,0.184543861033923
CBaya,C,BA,CBaya.C,0.161261724357586
CBaya,C,BA,CBaya.C,0.171395810898249
CBaya,C,BA,CBaya.C,0.166687031809113
