,BA,BB
15061649,58.033,58.588
15061650,59.987,59.416
15061651,60.69,60.138
15061653,61.747,60.864
15061654,57.143,57.92
15061655,59.583,59.532
15061658,57.248,57.96
15061659,58.485,58.521
15061661,57.173,57.914
15061662,59.46,59.444
15061665,60.163,59.542
15061668,60.176,59.514
15061670,57.518,57.987
15061671,59.133,59.54
15061673,58.37,58.741
15061677,59.346,59.466
15061678,59.332,59.449
15061679,60.254,59.89
15061680,57.478,57.979
15061682,60.589,60.377
15061683,58.736,59.185
15061684,56.8,58.058
15061686,58.701,59.134
15061687,58.817,59.351
15061688,58.688,59.128
15061689,59.297,59.443
15061704,60.587,60.389
15061706,58.012,58.528
15061709,61.682,60.275
15061712,59.495,59.447
15061713,60.585,60.377
15061714,58.392,59.006
15061717,61.146,60.329
15061718,59.48,59.467
15061720,58.347,59.051
15061723,60.892,59.554
15061724,59.408,59.238
15061725,58.379,58.997
15061726,55.847,57.518
15061729,58.218,58.943
15061730,58.193,58.912
15061733,59.254,59.431
15061734,59.317,59.45
15061735,58.4,59.002
15061736,58.226,58.919
15061737,58.146,58.848
15061738,59.312,59.439
15061740,59.924,59.922
15061742,62.49,61.41
15061744,59.833,59.29
15061747,59.134,59.546
15061751,58.542,58.53
15061752,59.869,59.916
15061753,59.421,59.489
15061754,60.631,59.879
15061755,58.415,59.134
15061756,58.365,59.135
15061757,60.217,59.813
15061758,60.802,60.28
15061759,60.82,60.347
15061760,58.291,58.934
15061762,58.597,59.309
15061765,60.826,59.978
15061766,62.535,61.445
15061767,62.84,60.939
15061769,58.72,58.836
15061771,59.321,59.44
15061772,62.96,60.97
15061773,60.081,59.801
15061777,60.191,59.793
15061778,59.27,59.427
15061784,59.286,59.434
15061785,59.359,59.484
15061788,58.582,59.149
15061790,60.168,59.804
15061795,58.353,59.189
15061797,59.304,59.44
15061798,58.346,58.752
15061800,59.461,58.952
15061801,58.404,58.294
15061808,58.478,58.313
15061811,60.556,60.348
15061813,57.406,58.068
15061815,57.096,57.928
15061826,58.402,58.788
15061905,59.411,59.64
15061906,59.417,59.404
15061908,58.486,59.221
15061909,60.054,59.718
15061910,57.095,57.898
15061911,59.055,58.982
15061912,58.252,58.795
15061915,59.112,58.997
15061917,61.7,60.846
15061918,58.548,58.542
15061926,57.144,57.917
15061927,61.416,60.317
15061928,58.561,58.597
15061929,56.944,58.218
15061930,58.589,58.55
15061933,58.741,59.146
15061934,58.194,58.944
15061935,59.126,59.02
15061937,61.132,60.414
15061939,59.393,59.472
15061941,61.614,60.25
15061942,61.01,60.186
15061944,61.552,60.808
