"","Prefix","CHL_Components","Traits","Models","Predictive_Ability"
"232","PCSprout","H","PCSprout.H","BC",0.32
"233","PCSprout","H","PCSprout.H","BC",-0.062
"234","PCSprout","H","PCSprout.H","BC",0.408
"235","PCSprout","H","PCSprout.H","BC",0.412
"236","PCSprout","H","PCSprout.H","BC",0.411
"237","PCSprout","H","PCSprout.H","BC",0.347
"238","PCSprout","H","PCSprout.H","BC",0.282
"239","PCSprout","H","PCSprout.H","BC",0.367
"240","PCSprout","H","PCSprout.H","BC",0.34
"241","PCSprout","H","PCSprout.H","BC",0.338
"242","PCSprout","H","PCSprout.H","BC",0.384
"243","PCSprout","H","PCSprout.H","BC",0.129
"244","PCSprout","H","PCSprout.H","BC",0.402
"245","PCSprout","H","PCSprout.H","BC",0.365
"246","PCSprout","H","PCSprout.H","BC",0.421
"247","PCSprout","H","PCSprout.H","BC",0.205
"248","PCSprout","H","PCSprout.H","BC",0.003
"249","PCSprout","H","PCSprout.H","BC",0.373
"250","PCSprout","H","PCSprout.H","BC",0.428
"251","PCSprout","H","PCSprout.H","BL",0.219
"252","PCSprout","H","PCSprout.H","BL",0.076
"253","PCSprout","H","PCSprout.H","BL",0.254
"254","PCSprout","H","PCSprout.H","BL",0.394
"255","PCSprout","H","PCSprout.H","BL",0.327
"256","PCSprout","H","PCSprout.H","BL",0.226
"257","PCSprout","H","PCSprout.H","BL",0.278
"258","PCSprout","H","PCSprout.H","BL",0.275
"259","PCSprout","H","PCSprout.H","BL",0.439
"260","PCSprout","H","PCSprout.H","BL",0.252
"261","PCSprout","H","PCSprout.H","BL",0.349
"262","PCSprout","H","PCSprout.H","BL",0.39
"263","PCSprout","H","PCSprout.H","BL",0.057
"264","PCSprout","H","PCSprout.H","BL",0.167
"265","PCSprout","H","PCSprout.H","BL",0.426
"266","PCSprout","H","PCSprout.H","BL",0.277
"267","PCSprout","H","PCSprout.H","BL",0.33
"268","PCSprout","H","PCSprout.H","BL",0.399
"269","PCSprout","H","PCSprout.H","BL",0.306
"270","PCSprout","H","PCSprout.H","BL",0.417
"271","PCSprout","H","PCSprout.H","BL",0.112
"272","PCSprout","H","PCSprout.H","BL",0.346
"273","PCSprout","H","PCSprout.H","BL",0.41
"274","PCSprout","H","PCSprout.H","BL",0.387
"275","PCSprout","H","PCSprout.H","BL",0.315
"276","PCSprout","H","PCSprout.H","BRR",0.353
"277","PCSprout","H","PCSprout.H","BRR",0.316
"278","PCSprout","H","PCSprout.H","BRR",0.404
"279","PCSprout","H","PCSprout.H","BRR",0.256
"280","PCSprout","H","PCSprout.H","BRR",0.427
"281","PCSprout","H","PCSprout.H","BRR",0.446
"282","PCSprout","H","PCSprout.H","BRR",0.266
"283","PCSprout","H","PCSprout.H","BRR",0.362
"284","PCSprout","H","PCSprout.H","BRR",0.364
"285","PCSprout","H","PCSprout.H","BRR",0.39
"286","PCSprout","H","PCSprout.H","BRR",0.419
"287","PCSprout","H","PCSprout.H","BRR",0.063
"288","PCSprout","H","PCSprout.H","BRR",0.357
"289","PCSprout","H","PCSprout.H","BRR",0.425
"290","PCSprout","H","PCSprout.H","BRR",0.144
"291","PCSprout","H","PCSprout.H","BRR",0.422
"292","PCSprout","H","PCSprout.H","BRR",0.146
"293","PCSprout","H","PCSprout.H","BRR",0.418
"294","PCSprout","H","PCSprout.H","BRR",0.307
"295","PCSprout","H","PCSprout.H","BRR",0.348
"296","PCSprout","H","PCSprout.H","BRR",0.358
"297","PCSprout","H","PCSprout.H","BRR",0.505
"298","PCSprout","H","PCSprout.H","BRR",0.112
"299","PCSprout","H","PCSprout.H","BRR",0.041
"300","PCSprout","H","PCSprout.H","BRR",0.43
"301","PCSprout","H","PCSprout.H","GBLUP",0.338
"302","PCSprout","H","PCSprout.H","GBLUP",0.313
"303","PCSprout","H","PCSprout.H","GBLUP",0.316
"304","PCSprout","H","PCSprout.H","GBLUP",0.117
"305","PCSprout","H","PCSprout.H","GBLUP",0.249
"306","PCSprout","H","PCSprout.H","GBLUP",0.318
