SAMPLES,Baya.LCH.C,Baya.LCH.C.GEBV,Baya.LCH.H,Baya.LCH.H.GEBV,Baya.LCH.L,Baya.LCH.L.GEBV,PriBrote.LCH.C,PriBrote.LCH.C.GEBV,PriBrote.LCH.H,PriBrote.LCH.H.GEBV,PriBrote.LCH.L,PriBrote.LCH.L.GEBV,PriFlor.LCH.C,PriFlor.LCH.C.GEBV,PriFlor.LCH.H,PriFlor.LCH.H.GEBV,PriFlor.LCH.L,PriFlor.LCH.L.GEBV,PriTuber.LCH.C,PriTuber.LCH.C.GEBV,PriTuber.LCH.H,PriTuber.LCH.H.GEBV,PriTuber.LCH.L,PriTuber.LCH.L.GEBV,Pulpa.LCH.C,Pulpa.LCH.C.GEBV,Pulpa.LCH.H,Pulpa.LCH.H.GEBV,Pulpa.LCH.L,Pulpa.LCH.L.GEBV,SecBrote.LCH.C,SecBrote.LCH.C.GEBV,SecBrote.LCH.H,SecBrote.LCH.H.GEBV,SecBrote.LCH.L,SecBrote.LCH.L.GEBV,SecTuber.LCH.C,SecTuber.LCH.C.GEBV,SecTuber.LCH.H,SecTuber.LCH.H.GEBV,SecTuber.LCH.L,SecTuber.LCH.L.GEBV,Tallo.LCH.C,Tallo.LCH.C.GEBV,Tallo.LCH.H,Tallo.LCH.H.GEBV,Tallo.LCH.L,Tallo.LCH.L.GEBV
15062130,46.973,59,115.094,106,59.627,69,40.54112,47,307.996,352,37.734,36,46.39,41,322.713,320,50.788,48,33.53,35,40.182,16,44.235,40,11.097,6,74.586,71,88.887,92,7.936,7,237.708,318,95.728,96,31.32,35,69.65,83,66.469,75,42.78,44,143.007,117,53.69134,54
15061637,46.973,59,116.474,106,60.563,69,30.93307,20,310.636,307,33.732,26,45.186,58,311.283,322,55.121,43,32.104,35,101.391,83,51.186,75,19.399,18,91.915,90,84.27,84,4.829,7,228.666,318,95.829,96,35.258,33,100.665,10,61.738,43,38.397,38,140.644,132,48.82881,53
15061337,44.433,44,117.535,117,57.398,54,25.51612,26,307.046,314,29.392,33,49.059,57,320.842,317,44.815,49,27.163,28,76.339,345,33.553,30,17.405,18,86.487,90,85.377,84,4.298,7,179.484,318,94.445,96,37.203,35,130.693,22,73.366,80,35.52,44,163.608,117,48.36009,54
15062104,44.433,45,120.272,128,58.297,58,33.75448,20,315.141,307,29.676,26,49.318,58,318.947,312,45.312,33,17.512,36,223.293,83,37.957,79,18.547,18,82.96,90,86.355,84,6.299,4,134.694,41,94.989,94,37.647,32,99.448,5,76.688,42,29.569,44,193.49,117,44.11192,54
15061579,44.433,45,114.133,115,58.992,72,27.13636,26,311.424,314,37.208,33,51.618,58,323.795,322,43.202,43,32.177,16,185.931,3,55.32,30,15.82,6,88.836,71,86.264,92,7.474,4,217.729,41,95.105,94,29.594,42,180.984,96,53.647,80,26.723,16,272.557,359,41.99401,28
15061932,42.658,45,115.296,128,57.899,58,40.14877,45,320.306,330,51.965,52,45.901,46,320.5,323,57.118,57,39.325,42,57.419,96,54.623,80,13.788,6,83.766,71,89.452,92,8.95,4,204.146,41,93.932,94,35.977,28,59.039,84,60.189,41,44.799,44,110.135,117,57.63208,54
15061603,46.973,48,116.129,118,60.483,66,29.30192,28,300.604,306,30.432,27,51.048,39,320.067,319,45.953,42,17.39,8,158.964,313,34.897,29,7.666,3,71.059,32,90.365,92,5.213,7,185.315,318,94.14,96,38.588,42,104.194,96,74.91,80,20.851,44,299.423,117,33.76968,54
15060025,46.973,48,116.474,118,60.563,66,30.41047,20,310.636,307,33.732,26,45.186,45,311.283,305,55.121,52,32.104,47,101.391,85,51.186,76,16.586,5,91.915,52,85.128,94,4.829,7,221.819,318,95.829,95,35.258,19,100.665,5,61.738,27,38.397,44,140.644,117,48.79237,54
15061704,46.973,75,116.474,107,60.563,76,30.97395,28,310.636,306,33.732,27,45.186,37,311.283,293,55.121,61,32.104,19,101.391,5,51.186,27,16.586,6,91.915,71,85.128,92,4.829,4,228.666,41,95.829,94,35.697,47,100.665,85,61.738,76,38.397,44,140.644,117,48.86613,54
15061334,44.433,48,117.078,118,60.251,66,48.17903,49,324.559,320,39.319,54,50.451,57,319.405,327,44.145,45,28.946,32,136.589,14,41.225,38,9.151,26,83.324,94,88.462,84,7.147,7,254.852,318,92.849,96,38.331,47,109.583,85,68.768,76,32.529,44,183.934,117,47.18066,54
15061631,41.593,48,117.153,118,58.458,66,27.70968,28,310.901,306,30.263,27,46.764,58,317.011,322,47.446,43,17.575,11,233.925,318,40.301,28,29.573,6,112.477,71,83.135,92,6.654,4,264.885,41,95.12,94,36.938,47,76.624,85,73.439,76,26.607,16,243.982,359,39.03751,28
15060964,41.593,38,115.443,132,55.23,53,35.80166,40,324.662,309,33.415,43,53.082,39,322.928,321,47.672,36,25.692,16,120.793,359,38.693,28,17.85,32,71.984,84,88.012,81,7.511,7,256.113,318,94.345,96,35.341,47,125.84,85,67.546,76,42.73,44,98.799,117,53.82786,54
15061778,46.973,44,117.947,117,59.708,54,34.5488,58,300.604,322,41.508,43,52.289,58,323.928,322,46.856,43,19.85,11,193.142,318,39.965,28,16.218,42,84.249,96,86.735,80,11.421,7,177.38,318,85.765,96,35.444,41,82.798,86,70.08,80,27.17,16,255.283,359,39.85101,28
15061718,41.593,44,117.539,128,57.73,54,30.01154,26,318.558,307,30.979,33,51.442,40,318.995,305,45.382,59,22.017,11,187.454,318,45.67,28,15.626,6,77.693,71,86.668,92,6.727,7,162.007,318,95.098,96,38.431,36,112.44,83,76.723,79,35.262,21,135.567,132,45.29933,49
15061486,46.973,44,117.231,117,59.805,54,30.43507,26,317.496,314,31.103,33,45.296,45,324.743,310,39.672,58,22.928,8,238.723,313,51.032,29,7.479,6,75.428,88,90.714,92,4.606,7,203.972,318,94.497,96,31.07,35,187.432,86,52.535,80,31.819,44,202.24,117,40.40129,54
15060214,44.816,44,116.742,117,58.795,54,28.89437,53,326.951,315,46.101,62,30.218,39,272.254,321,53.106,36,33.699,47,44.387,85,58.672,76,16.979,6,92.722,71,89.373,92,6.23,7,139.253,318,96.342,95,33.234,37,76.006,12,60.802,41,43.614,44,91.298,117,59.97175,54
15061333,44.433,44,116.924,117,57.75,54,24.96841,28,317.737,306,30.727,27,45.735,45,290.214,305,51.726,52,24.181,8,142.991,313,48.189,29,16.633,18,82.96,90,86.859,84,4.953,7,201.611,318,94.043,96,32.262,36,192.39,96,67.235,30,28.423,44,195.258,117,42.15707,54
15061962,42.658,44,115.296,117,57.899,54,40.1322,55,320.306,328,51.965,52,45.901,49,320.5,320,57.118,54,39.325,35,57.419,83,54.623,75,13.788,6,83.766,71,89.452,92,8.95,4,204.146,41,93.932,94,35.977,29,59.039,17,60.189,50,44.799,44,108.562,117,57.56664,54
15061624,46.973,44,116.129,117,60.483,54,28.93091,55,300.604,329,30.432,36,51.048,40,320.067,308,45.953,38,17.39,39,158.964,17,34.897,43,7.666,6,71.059,71,90.365,92,5.213,4,185.315,41,94.14,94,38.014,42,104.194,96,74.91,80,20.851,44,299.423,117,33.89397,54
15061282,42.276,32,116.022,112,58.43,58,34.65033,28,318.572,306,40.745,27,50.067,58,318.572,322,46.381,43,28.155,26,162.667,342,43.73,50,8.32,6,72.684,71,90.221,92,5.297,7,272.609,318,95.956,96,33.586,6,109.674,71,70.183,92,42.107,44,121.73,117,54.43902,54
15061529,46.973,48,115.533,118,59.899,66,27.59041,26,310.373,314,29.746,33,14.133,6,119.371,71,79.664,92,26.675,11,222.448,328,45.125,30,16.675,18,97.224,90,86.025,84,8.681,7,236.325,318,94.588,96,33.775,39,102.261,86,58.921,80,37.572,44,135.685,117,47.85123,54
15061935,42.658,59,115.296,106,57.899,69,40.00896,57,318.372,347,51.965,54,45.901,55,320.5,329,57.118,36,39.325,37,57.419,18,54.623,42,13.788,6,83.766,71,89.452,92,8.262,4,204.146,41,93.932,94,35.977,41,59.039,86,60.189,80,44.799,44,108.562,117,57.76976,54
15061568,44.433,44,116.215,117,59.203,54,43.22671,49,318.182,320,38.013,54,47.711,58,331.829,322,50.089,43,27.831,42,80.266,96,34.83,80,12.89,18,69.999,90,86.918,84,7.396,4,295.665,41,94.261,94,34.036,37,87.474,18,71.455,42,47.24,44,118.816,117,54.84814,54
15061491,46.973,59,117.947,106,59.708,69,34.52128,58,300.604,336,41.508,48,52.289,58,323.928,322,46.856,43,19.85,11,193.142,328,39.965,30,16.218,18,84.249,90,86.735,84,11.421,7,177.38,318,85.765,95,35.444,41,82.798,86,70.08,80,27.17,16,255.283,359,39.81681,28
