,BA,BB
15061753,70.057,69.779
15061754,49.688,49.867
15061755,72.754,71.724
15061756,72.361,71.353
15061757,59.204,59.177
15061758,58.924,58.753
15061759,58.029,57.725
15061760,63.384,63.398
15061762,69.161,69.594
15061765,72.64,72.256
15061766,50.497,50.368
15061767,66.656,67.046
15061769,70.509,69.971
15061771,70.041,69.527
15061772,66.765,67.148
15061773,56.519,56.42
15061777,59.621,59.679
15061778,69.491,69.141
15061784,69.614,69.239
15061785,58.134,57.823
15061788,46.708,46.6
15061790,58.794,58.941
15061795,68.4,68.329
15061797,69.498,69.187
15061798,78.572,80.768
15061800,56.006,55.673
15061801,60.206,60.08
15061808,60.292,60.123
15061811,58.061,57.745
15061813,58.943,58.386
15061815,71.358,71.329
15061826,78.666,79.488
15061905,71.83,72.245
15061906,70.44,71.043
15061908,61.694,60.658
15061909,70.979,70.601
15061910,71.3,71.317
15061911,57.569,57.061
15061912,57.733,58.617
15061915,58.035,57.504
15061917,70.043,70.254
15061918,69.957,69.485
15061926,71.36,71.335
15061927,62.399,63.676
15061928,66.803,65.789
15061929,62.461,62.869
15061930,69.564,69.22
15061933,74.43,74.699
15061934,62.884,62.991
15061935,58.383,57.744
15061937,61.286,61.809
15061939,69.85,69.41
15061941,53.836,55.031
15061942,72.612,72.741
15061944,55.111,55.809
15061945,70.025,70.298
15061946,69.91,70.338
15061948,74.513,74.694
15061949,72.016,70.729
15061951,70.088,70.29
15061952,63.169,63.321
15061953,74.486,74.688
15061958,47.938,47.095
15061960,70.414,71.268
15061961,75.481,75.061
15061962,58.076,57.666
15061963,69.571,69.21
15061965,61.4,60.261
15061966,70.54,71.475
15061967,72.294,72.955
15061968,59.331,59.188
15062036,72.277,71.488
15062038,70.108,70.244
15062039,71.799,72.116
15062046,57.004,58.282
15062050,56.726,56.21
15062051,70.275,70.637
15062067,60.302,60.038
15062069,46.1,46.284
15062071,70.078,69.572
15062080,59.923,58.97
15062092,74.488,74.694
15062094,75.344,74.973
15062097,57.631,57.474
15062099,72.942,72.531
15062100,60.901,59.817
15062101,72.413,71.09
15062102,65.669,64.016
15062103,57.302,57.347
15062105,75.332,75.039
15062106,69.862,69.316
15062107,71.983,72.153
15062108,69.478,69.169
15062109,70.18,70.298
15062111,62.571,61.461
15062112,74.989,74.859
15062114,56.462,56.219
15062117,69.927,70.009
15062118,70.099,70.266
15062122,70.452,71.252
15062124,72.708,72.306
15062126,74.008,72.669
15062130,64.463,64.013
15062136,69.997,71.434
15062137,69.68,69.131
15062138,72.35,72.462
15062139,67.196,67.497
15062142,55.861,57.036
15062145,68.329,67.652
15062146,67.875,67.822
15062149,67.395,67.487
15062150,68.221,67.931
15062151,76.307,76.939
15062152,69.847,69.183
15062153,69.877,69.362
15062331,69.415,69.384
15062332,69.811,69.513
15062333,55.863,56.448
15062334,69.016,68.756
15062335,69.578,67.759
15062337,70.48,70.486
15062338,70.184,70.334
15062346,56.813,56.42
15062347,66.803,67.083
15062348,69.96,70.263
15062349,74.146,73.454
15062350,71.761,70.647
15062351,69.277,69.785
15062353,53.785,54.944
15062354,69.786,70.049
15062356,68.131,68.085
15062357,75.22,74.991
15062358,69.414,69.108
15062360,60.194,59.918
15062361,62.783,61.56
15062363,72.085,72.337
15062366,77.567,77.735
15062367,56.219,56.266
15062368,70.107,70.238
15062369,67.37,67.588
15062370,73.987,73.312
