SAMPLES,Baya.LCH.C,Baya.LCH.C.GEBV,Baya.LCH.H,Baya.LCH.H.GEBV,Baya.LCH.L,Baya.LCH.L.GEBV,PriBrote.LCH.C,PriBrote.LCH.C.GEBV,PriBrote.LCH.H,PriBrote.LCH.H.GEBV,PriBrote.LCH.L,PriBrote.LCH.L.GEBV,PriFlor.LCH.C,PriFlor.LCH.C.GEBV,PriFlor.LCH.H,PriFlor.LCH.H.GEBV,PriFlor.LCH.L,PriFlor.LCH.L.GEBV,PriTuber.LCH.C,PriTuber.LCH.C.GEBV,PriTuber.LCH.H,PriTuber.LCH.H.GEBV,PriTuber.LCH.L,PriTuber.LCH.L.GEBV,Pulpa.LCH.C,Pulpa.LCH.C.GEBV,Pulpa.LCH.H,Pulpa.LCH.H.GEBV,Pulpa.LCH.L,Pulpa.LCH.L.GEBV,SecBrote.LCH.C,SecBrote.LCH.C.GEBV,SecBrote.LCH.L,SecBrote.LCH.L.GEBV,SecTuber.LCH.C,SecTuber.LCH.C.GEBV,SecTuber.LCH.H,SecTuber.LCH.H.GEBV,SecTuber.LCH.L,SecTuber.LCH.L.GEBV,Tallo.LCH.C,Tallo.LCH.C.GEBV,Tallo.LCH.H,Tallo.LCH.H.GEBV,Tallo.LCH.L,Tallo.LCH.L.GEBV
15062130,47.917,59,116.957,106,59.756,69,48.573,47,310.423,352,37.679,36,46.928,41,319.288,320,52.909,48,34.818,35,57.202,16,49.182,40,11.316,6,73.482,71,88.335,92,7.969,7,94.341,96,33.623,35,93.054,83,65.39526,75,42.18835,44,134.981,117,54.024,54
15061637,46.688,59,116.381,106,60.879,69,29.62,20,310.237,307,32.859,26,43.089,58,311.611,322,58.348,43,30.896,35,127.609,83,49.129,75,20.79,18,92.514,90,84.258,84,6.311,7,95.002,96,35.674,33,102.214,10,60.56267,43,36.6084,38,141.615,132,51.098,53
15061337,44.553,44,117.375,117,57.549,54,24.581,26,307.032,314,29.635,33,47.999,57,320.188,317,46.412,49,28.165,28,83.931,345,36.462,30,17.352,18,84.004,90,85.504,84,5.481,7,94.837,96,37.28,35,129.435,22,72.06309,80,37.05042,44,161.248,117,48.75,54
15062104,43.82,45,119.529,128,58.208,58,29.571,20,313.148,307,31.793,26,48.66,58,316.909,312,45.012,33,21.328,36,249.221,83,49.129,79,17.842,18,82.775,90,86.769,84,6.781,4,93.352,94,36.834,32,119.456,5,77.61695,42,27.17418,44,190.583,117,44.463,54
15061579,42.89,45,114.995,115,58.296,72,30.41,26,307.032,314,36.717,33,49.773,58,319.857,322,43.388,43,32.772,16,187.081,3,53.302,30,15.804,6,91.141,71,85.95,92,7.487,4,91.63,94,31.286,42,128.197,96,52.82721,80,25.54692,16,274.042,359,39.9,28
15061932,44.538,45,116.055,128,58.451,58,38.951,45,320.482,330,52.105,52,46.89,46,319.125,323,56.972,57,30.005,42,53.754,96,53.302,80,13.264,6,80.82,71,89.241,92,6.513,4,90.993,94,35.879,28,64.94,84,65.78212,41,50.79075,44,111.772,117,54.718,54
15061603,45.996,48,115.977,118,60.491,66,26.491,28,307.032,306,31.99,27,50.02,39,319.709,319,45.576,42,20.225,8,152.17,313,36.2,29,7.365,3,68.528,32,90.658,92,5.276,7,92.815,96,36.378,42,90.237,96,77.53108,80,20.98361,44,305.545,117,33.469,54
15060025,46.688,48,116.381,118,60.879,66,28.581,20,310.237,307,32.859,26,43.089,45,311.611,305,58.348,52,30.896,47,127.609,85,49.129,76,20.79,5,92.514,52,84.258,94,6.311,7,95.002,95,35.674,19,102.214,5,60.46422,27,36.73338,44,141.615,117,51.098,54
15061704,46.688,75,116.381,107,60.879,76,28.581,28,310.237,306,32.859,27,43.089,37,311.611,293,58.348,61,30.896,19,127.609,5,49.129,27,20.79,6,92.514,71,84.258,92,6.311,4,95.002,94,35.94,47,102.214,85,60.73905,76,36.63574,44,141.615,117,51.098,54
15061334,45.767,48,116.577,118,59.858,66,49.158,49,323.219,320,37.863,54,51.037,57,319.198,327,42.276,45,28.996,32,86.765,14,32.346,38,9.705,26,86.654,94,88.226,84,6.888,7,90.916,96,37.028,47,108.124,85,71.46182,76,37.15158,44,155.523,117,49.348,54
