"nMarkers","HCLTraits","Traits","HCLs","Models","Means"
50,"CTallo.C","CTallo","C","RKHS",0.646888888888889
50,"CTallo.H","CTallo","H","RKHS",0.450555555555556
50,"CTallo.L","CTallo","L","RKHS",0.674555555555556
75,"CBaya.C","CBaya","C","BRR",0.172222222222222
75,"CBaya.H","CBaya","H","BA",0.135555555555556
75,"CBaya.L","CBaya","L","BL",0.171444444444444
75,"CPBrote.C","CPBrote","C","RKHS",0.577
75,"CPBrote.H","CPBrote","H","RKHS",0.349
75,"CPBrote.L","CPBrote","L","RKHS",0.442444444444444
75,"CPFlor.C","CPFlor","C","RKHS",0.582
75,"CPFlor.H","CPFlor","H","RKHS",0.845888888888889
75,"CPFlor.L","CPFlor","L","RKHS",0.587777777777778
75,"CPTuber.C","CPTuber","C","RKHS",0.491777777777778
75,"CPTuber.H","CPTuber","H","RKHS",0.375777777777778
75,"CPTuber.L","CPTuber","L","RKHS",0.422
75,"CPulpa.C","CPulpa","C","RKHS",0.459333333333333
75,"CPulpa.H","CPulpa","H","RKHS",0.306111111111111
75,"CPulpa.L","CPulpa","L","BC",0.460777777777778
75,"CSBrote.C","CSBrote","C","RKHS",0.205333333333333
75,"CSBrote.H","CSBrote","H","RKHS",0.198888888888889
75,"CSBrote.L","CSBrote","L","RKHS",0.314888888888889
75,"CSPulpa.C","CSPulpa","C","RKHS",0.193666666666667
75,"CSPulpa.H","CSPulpa","H","BL",0.0684444444444444
75,"CSPulpa.L","CSPulpa","L","RKHS",0.250555555555556
75,"CSTuber.C","CSTuber","C","BRR",0.228777777777778
75,"CSTuber.H","CSTuber","H","RKHS",0.187888888888889
75,"CSTuber.L","CSTuber","L","RKHS",0.287111111111111
75,"CTallo.C","CTallo","C","RKHS",0.633
75,"CTallo.H","CTallo","H","RKHS",0.432111111111111
75,"CTallo.L","CTallo","L","RKHS",0.676888888888889
