"Registro","CTallo","CPFlor","CBaya","CPTuber","CSTuber","CPulpa","CSPulpa","CPBrote","CSBrote"
"15061215","144A","N82A","144A","183A","160A","160D",NA,"77B","NN155A"
"15061216","144A","157B","144B","N187A","162C","160D","183D","90A","NN155D"
"15061225","144A","N81A","144B","183D","162D","155A",NA,"91A","NN155D"
"15061226","144A","86B","146C","162B","79A","155A",NA,"88B","NN155A"
"15061228","N77A","N88B","143B","N187A","160B","160D",NA,"N92C","NN155C"
"15061235","144A","92A","146B","178B",NA,"160C",NA,"71D","NN155D"
"15061236","144A","92A","144A","162C","N77B","160C",NA,"N92C","NN155C"
"15061237","144A","86D","N144B","182A","162C","NN155B",NA,"N78B","NN155D"
"15061239","144A","84A","144B","162B","182B","155A",NA,"N78A","NN155D"
"15061244","144A","84A","146B","183B",NA,"155A",NA,"N92C","NN155A"
"15061255","144A","86B","144B","161B","182A","160D",NA,"NN74B","NN155B"
"15061256","144A","N81A","144A","N187A","161A","157C","83A","N92C","NN155C"
"15061257","N77A","86B","144B","182A",NA,"160D",NA,"N95D",NA
"15061258","N77A","84A","144A","N187A","162B","155C","79A","N92C","NN155B"
"15061259","N77A","86C","146A","N186A","162B","155A","83A","N92C","NN155A"
"15062063","144A","83B","144B","187A","N186A","160D",NA,"N92C","NN155A"
"15061926","144A","N81A","N144A","N77A","162B","155C",NA,"86A","NN155A"
"15061927","N77A","85A","N144A","N186A","160A","155A","N82A","93C","NN155A"
"15062344","144A","N81A",NA,"187B","160A","160D",NA,"N92C","NN155D"
"15061928","N77A","N81B","144A","N187A","162B","155A",NA,"92B","NN155D"
"15062067","144A","N81B","N144A","160A","181A","155A",NA,"72A","NN155A"
"15061929","144A","83C","144A","161A","N77B","155A",NA,"N92C","NN155C"
"15061930","N77A","N81B",NA,"N77D","161B","155C",NA,"83A","NN155C"
"15062069","N77A","83A","144A","N186B","187A","160C","86A","N92C","NN155D"
"15061260","144A","N81C","143B","N187A","161A","155A",NA,"N92C","NN155A"
"15061261","144A","92A","N144A","162B","182B","160A",NA,"86A","NN155C"
"15061262","144A","157A","143B","N177D","164B","160D",NA,"N92C","NN155A"
"15062071","144A","157A","143A","174C","N77D","160D",NA,"N92C","NN155C"
"15061263","144A","155A","143B","N77A",NA,"160C",NA,"94C","NN155D"
"15061932","144A","N81C","143B","160A",NA,"155A",NA,"77B","NN155A"
"15061264","144A","155A","144A","161A","183D","160C",NA,"N92C","NN155A"
"15061933","144A","90C","146A","N77A","161A","160C",NA,"N92C","NN155A"
"15061265","144A","92A","144B","187B","160A","155A",NA,"N92C","NN155C"
"15061270","144A","N82B","144A","182A",NA,"160D",NA,"N92C",NA
"15062074","144A","91B","144A","162B","N77D","155C",NA,"N92C","NN155A"
"15061934","N77A","N82A","143A","162B","N77A","160C",NA,"N92C","NN155A"
"15061935","144A","N81A","N144A","181A","162B","155A",NA,"71D","NN155A"
"15061271","144A","N88B","143C","N187A","160A","155C","N77B","N92C","NN155D"
"15061936","144A","N81A","146A","183A",NA,"160D",NA,"71A","NN155A"
"15061273","144A","N87A","144A","182A","183C","160C",NA,"N92C","71B"
"15061274","144A","N88B","146A","184B",NA,"160D",NA,"72B","NN155D"
"15061937","144A","83B","144C","N77A","160A","155C",NA,"N92C","NN155A"
"15061277","144A","N82B","143B","162B","182B","155A",NA,"81A","NN155D"
"15062080","144A","N82A","144A","162A","N77B","160D",NA,"N81C","NN155D"
"15062081","200A","90D","144C","187A",NA,"160D",NA,"N92C",NA
"15061279","144A","N82B","144A","183B",NA,"160C",NA,"N92D","72A"
"15061280","144A","N82A","143B","181A","161B","160D",NA,"72B","NN155A"
"15061281","144A","N80A","146B","181A","160A","155A",NA,"N82B","NN155D"
"15061939","144A","N82A","144B","160A",NA,"160C",NA,"NN155A","83A"
"15061282","144A","N82A","146C","N77D","155A","155A",NA,"N92B","NN155D"
"15060910","N77A","N81A","146A","182A","160A","160D",NA,"N78B","NN155D"
"15061940","144A","N82B","144A","160B","184C","155A",NA,"N82A","NN155A"
"15061283","144A","83A","144B","183A","160A","160D",NA,"N92B","NN155B"
"15061284","144A","84A","144B","N186C","162B","155A",NA,"N92C","NN155A"
"15061285","144A","N82B","145A","183C","162B","160D",NA,"83A","NN155D"
"15062346","144A","86B","144A","160A",NA,"160C",NA,"94A","NN155D"
"15061286","144A","83B","144A","183B","161A","160C",NA,"92D","72A"
"15061287","144A","90C","144B","184A","161A","160D",NA,"N92C","NN155A"
"15061288","144A","86C",NA,"184A","160B","155A",NA,"80B","NN155A"
"15061289","144A","N81B","144B","183C","161A","160D",NA,"N81C","NN155A"
"15061290","144A","N82B","145A","160A","183D","155A",NA,"N92C","NN155C"
"15061291","144A","N87B","144A","181A","160A","160D",NA,"N81B","NN155A"
"15061292","N77A","N81B","144A","N186A","161A","160C","183D","N92C","NN155A"
"15061293","N77A","84A","144B","153A","N186B","160D",NA,"N92B","NN155A"
"15061295","166A","N82B","144C","183B","N186B","155A","83A","N92C","NN155D"
"15061941","144A","N82B","144C","161A","183D","160D",NA,"N80B","NN155A"
"15061296","N77A","N82B","144B","N186A","161A","160C",NA,"N92D","NN155C"
"15061297","144A","N88B","144A","N186A","162A","157B","N186B","N92C","NN155D"
"15061942","144A","N81C","144B","185B","160A","160D",NA,"N92D",NA
"15061298","144A","N82C","144B","180C","160A","160D",NA,"N92D","NN155A"
"15061299","200A","N82C","144A","183D","161C","155A",NA,"90B","NN155D"
"15061300","144A","N82A","146C","160A","N187A","157A",NA,"N92B","NN155A"
"15061301","144A","N82A","144A","183C","160A","160D",NA,"N92D","71A"
"15061302","144A","83A","144B","N187A","160A","160C",NA,"N92B","NN155A"
"15061303","144A","N81C","144B","160A","183D","155A",NA,"N80B","NN155A"
"15061305","144A","83C","144B","162B","N77B","155A",NA,"N92C","NN155A"
"15061307","N77A","N82C","144A","N186C","160B","160D",NA,"N92B","NN155A"
"15061308","200A","N81C","144A","N186A",NA,"160B","86A","N92B",NA
"15061943","200A","N81B","146A","N186B","161A","155A","N77B","N92C","NN155C"
"15061312","144A","N82C","N144A","182A","161A","155A",NA,"90A","NN155A"
"15061313","144A","N82A","N144A","161A","182A","160D",NA,"N92C",NA
"15061314","144A","N81C","N144B","183D",NA,"160D",NA,"72A","NN155D"
"15061944","144A","N87B","N144A","160A","182A","155A",NA,"N87B","NN155D"
"15062088","144A","83B","143C","N186B",NA,"155A",NA,"N92C","NN155A"
