,BA,BB
15061524,31.295,32.783
15061525,42.905,43.154
15061526,45.088,43.983
15061528,35.202,34.816
15061529,35.257,35.561
15061530,43.253,44.171
15061533,41.453,40.335
15061534,32.061,34.64
15061535,33.287,32.17
15061536,41.713,42.331
15061540,69.169,68.531
15061542,68.728,68.361
15061543,43.076,43.336
15061544,33.007,32.055
15061546,32.857,33.429
15061548,48.697,49.592
15061549,39.588,39.585
15061550,47.929,48.399
15061553,45.661,47.28
15061555,50.688,51.942
15061556,67.094,66.126
15061560,48.049,48.725
15061561,61.069,61.039
15061564,40.225,38.588
15061565,61.842,60.922
15061566,33.318,34.157
15061568,57.447,57.615
15061571,46.68,46.415
15061575,42.245,42.654
15061576,53.481,53.903
15061577,30.861,30.652
15061578,31.408,31.564
15061579,58.864,58.13
15061580,33.602,33.614
15061583,46.323,46.137
15061584,53.543,55.678
15061585,52.811,53.436
15061586,53.419,53.767
15061588,67.534,66.324
15061600,38.04,37.676
15061602,45.162,47.625
15061603,33.48,34.198
15061604,44.52,44.365
15061605,73.423,74.478
15061608,53.907,53.907
15061609,33.698,34.198
15061610,32.834,33.203
15061612,59.444,56.975
15061613,45.839,45.965
15061619,39.313,39.106
15061621,47.322,47.295
15061622,59.105,58.11
15061623,53.86,53.148
15061624,32.227,32.96
15061628,35.722,35.571
15061631,32.52,34.636
15061632,45.806,46.011
15061637,53.872,52.776
15061638,53.556,52.635
15061639,40.16,40.587
15061640,34.72,36.667
15061642,53.537,52.296
15061645,32.612,34.722
15061646,43.774,44.069
15061647,53.649,53.093
15061648,36.862,37.003
15061649,40.699,42.696
15061650,73.357,70.362
15061651,43.928,44.184
15061653,46.601,46.598
15061654,45.608,45.955
15061655,67.913,69.738
15061658,46.934,47.214
15061659,53.314,54.213
15061661,46.109,46.159
15061662,33.247,33.929
15061665,66.446,67.274
15061668,64.999,65.657
15061670,39.886,40.81
15061671,36.881,36.903
15061673,51.446,52.02
15061677,40.265,40.397
15061678,39.374,39.346
15061679,43.216,41.678
15061680,39.768,40.632
15061682,53.407,52.999
15061683,34.136,33.642
15061684,46.61,46.631
15061686,33.069,33.241
15061687,36.372,37.947
15061688,33.085,33.254
15061689,39.591,39.825
15061704,53.242,52.906
15061706,73.595,71.405
15061709,68.484,66.337
15061712,33.865,34.271
15061713,53.541,53.076
15061714,46.92,46.215
15061717,38.271,41.922
15061718,33.144,33.918
15061720,49.51,49.798
15061723,47.353,47.183
15061724,55.986,53.789
15061725,46.811,45.878
15061726,43.405,44.372
15061729,49.315,49.401
15061730,49.812,49.406
15061733,39.835,40.291
15061734,39.714,39.861
15061735,46.954,46.373
15061736,50.031,49.621
15061737,48.471,48.841
15061738,39.482,39.964
15061740,32.407,32.596
15061742,70.102,70.402
15061744,59.41,57.233
15061747,44.369,44.577
15061751,53.211,53.649
15061752,31.707,32.15
15061753,39.161,39.764
15061754,76.487,76.422
15061755,33.078,33.751
15061756,33.347,34.275
15061757,42.521,41.426
15061758,55.266,53.008
15061759,60.528,56.94
15061760,49.157,49.758
15061762,34.713,35.504
15061765,34.904,35.487
15061766,70.205,70.529
15061767,33.831,34.767
15061769,39.829,40.616
15061771,38.292,38.942
15061772,34.027,34.645
15061773,38.59,38.377
15061777,42.496,41.412
15061778,39.24,39.783
15061784,39.406,39.855
15061785,58.406,56.681
15061788,30.965,32.822
15061790,42.974,41.557
15061795,32.412,34.816
15061797,39.534,39.869
15061798,34.387,36.851
15061800,62.001,63.809
15061801,67.915,66.854
15061808,68.04,67.036
15061811,53.047,52.736
15061813,67.826,67.243
15061815,44.859,44.967
15061826,34.489,37.055
15061905,43.478,43.889
15061906,33.075,36.209
15061908,38.82,38.477
15061909,34.426,34.508
15061910,45.954,45.92
15061911,63.681,64.77
15061912,71.238,68.789
15061915,63.083,63.273
15061917,46.848,46.834
15061918,52.774,53.399
15061926,45.933,46.033
15061927,41.257,39.867
15061928,41.562,40.456
15061929,51.186,50.635
15061930,52.982,53.697
15061933,32.907,33.262
15061934,49.834,49.659
15061935,62.685,63.084
15061937,42.59,44.998
15061939,40.66,40.271
15061941,68.178,65.823
15061942,36.824,38.999
15061944,60.635,56.668
15061945,46.547,46.49
15061946,33.324,34.811
15061948,33.006,33.251
15061949,33.858,35.534
15061951,46.858,46.771
15061952,49.587,49.448
15061953,34.209,34.366
15061958,67.715,63.267
15061960,33.241,35.236
15061961,33.171,34.161
15061962,62.961,63.259
