Prefix,HCL_component,Traits,Models,Predictive_ability
CBaya,H,CBaya.H,BL,0.069
CBaya,H,CBaya.H,BL,0.098
CBaya,H,CBaya.H,BL,-0.072
CBaya,H,CBaya.H,BL,0.167
CBaya,H,CBaya.H,BL,-0.073
CBaya,H,CBaya.H,BL,-0.007
CBaya,H,CBaya.H,BL,-0.049
CBaya,H,CBaya.H,BL,0.024
CBaya,H,CBaya.H,BL,-0.135
CBaya,H,CBaya.H,BL,0.083
CBaya,H,CBaya.H,BL,-0.088
CBaya,H,CBaya.H,BL,-0.023
CBaya,H,CBaya.H,BL,0.022
CBaya,H,CBaya.H,BL,0.08
CBaya,H,CBaya.H,BL,0.191
CBaya,H,CBaya.H,BL,0.053
CBaya,H,CBaya.H,BL,0.015
CBaya,H,CBaya.H,BL,-0.044
CBaya,H,CBaya.H,BL,0.109
CBaya,H,CBaya.H,BL,0.054
CBaya,H,CBaya.H,BL,0.045
CBaya,H,CBaya.H,BL,0.049
CBaya,H,CBaya.H,BL,-0.005
CBaya,H,CBaya.H,BL,-0.079
CBaya,H,CBaya.H,BL,0.092
CBaya,H,CBaya.H,BRR,-0.046
CBaya,H,CBaya.H,BRR,0.242
CBaya,H,CBaya.H,BRR,0.062
CBaya,H,CBaya.H,BRR,0.189
CBaya,H,CBaya.H,BRR,-0.049
CBaya,H,CBaya.H,BRR,0.256
CBaya,H,CBaya.H,BRR,-0.009
CBaya,H,CBaya.H,BRR,0.108
CBaya,H,CBaya.H,BRR,0.033
CBaya,H,CBaya.H,BRR,0.078
CBaya,H,CBaya.H,BRR,0.144
CBaya,H,CBaya.H,BRR,0.106
CBaya,H,CBaya.H,BRR,-0.045
CBaya,H,CBaya.H,BRR,-0.01
CBaya,H,CBaya.H,BRR,0.224
CBaya,H,CBaya.H,BRR,-0.01
CBaya,H,CBaya.H,BRR,-0.067
CBaya,H,CBaya.H,BRR,0.095
CBaya,H,CBaya.H,BRR,0.267
CBaya,H,CBaya.H,BRR,-0.038
CBaya,H,CBaya.H,BRR,0.121
CBaya,H,CBaya.H,BRR,-0.132
CBaya,H,CBaya.H,BRR,-0.092
CBaya,H,CBaya.H,BRR,0.032
CBaya,H,CBaya.H,BRR,0.177
CBaya,H,CBaya.H,GBLUP,-0.153
CBaya,H,CBaya.H,GBLUP,NA
CBaya,H,CBaya.H,GBLUP,NA
CBaya,H,CBaya.H,GBLUP,NA
CBaya,H,CBaya.H,GBLUP,-0.165
CBaya,H,CBaya.H,GBLUP,NA
CBaya,H,CBaya.H,GBLUP,-0.112
CBaya,H,CBaya.H,GBLUP,NA
CBaya,H,CBaya.H,GBLUP,NA
CBaya,H,CBaya.H,GBLUP,NA
CBaya,H,CBaya.H,GBLUP,NA
CBaya,H,CBaya.H,GBLUP,-0.087
CBaya,H,CBaya.H,GBLUP,NA
CBaya,H,CBaya.H,GBLUP,NA
CBaya,H,CBaya.H,GBLUP,-0.151
CBaya,H,CBaya.H,GBLUP,NA
CBaya,H,CBaya.H,GBLUP,NA
CBaya,H,CBaya.H,GBLUP,-0.15
CBaya,H,CBaya.H,GBLUP,NA
CBaya,H,CBaya.H,GBLUP,NA
CBaya,H,CBaya.H,GBLUP,NA
CBaya,H,CBaya.H,GBLUP,NA
CBaya,H,CBaya.H,GBLUP,-0.066
CBaya,H,CBaya.H,GBLUP,NA
CBaya,H,CBaya.H,GBLUP,-0.139
CBaya,H,CBaya.H,EGBLUP,-0.007
CBaya,H,CBaya.H,EGBLUP,0.022
CBaya,H,CBaya.H,EGBLUP,0.017
CBaya,H,CBaya.H,EGBLUP,0.196
CBaya,H,CBaya.H,EGBLUP,0.142
CBaya,H,CBaya.H,EGBLUP,0.075
CBaya,H,CBaya.H,EGBLUP,0.082
CBaya,H,CBaya.H,EGBLUP,0.042
CBaya,H,CBaya.H,EGBLUP,0.021
CBaya,H,CBaya.H,EGBLUP,-0.065
CBaya,H,CBaya.H,EGBLUP,0.096
CBaya,H,CBaya.H,EGBLUP,0.141
CBaya,H,CBaya.H,EGBLUP,-0.085
CBaya,H,CBaya.H,EGBLUP,0.099
CBaya,H,CBaya.H,EGBLUP,-0.004
CBaya,H,CBaya.H,EGBLUP,0.028
CBaya,H,CBaya.H,EGBLUP,0.033
CBaya,H,CBaya.H,EGBLUP,0.021
CBaya,H,CBaya.H,EGBLUP,0.005
CBaya,H,CBaya.H,EGBLUP,0.223
CBaya,H,CBaya.H,EGBLUP,-0.04
CBaya,H,CBaya.H,EGBLUP,0.176
CBaya,H,CBaya.H,EGBLUP,-0.124
CBaya,H,CBaya.H,EGBLUP,0.14
CBaya,H,CBaya.H,EGBLUP,-0.017
CBaya,H,CBaya.H,RKHS,-0.078
CBaya,H,CBaya.H,RKHS,0.265
CBaya,H,CBaya.H,RKHS,0.099
CBaya,H,CBaya.H,RKHS,0.027
CBaya,H,CBaya.H,RKHS,0.133
CBaya,H,CBaya.H,RKHS,-0.011
CBaya,H,CBaya.H,RKHS,0.006
CBaya,H,CBaya.H,RKHS,0.14
CBaya,H,CBaya.H,RKHS,0
CBaya,H,CBaya.H,RKHS,0.176
CBaya,H,CBaya.H,RKHS,-0.104
CBaya,H,CBaya.H,RKHS,0.167
CBaya,H,CBaya.H,RKHS,-0.02
CBaya,H,CBaya.H,RKHS,-0.085
CBaya,H,CBaya.H,RKHS,-0.107
CBaya,H,CBaya.H,RKHS,0.161
CBaya,H,CBaya.H,RKHS,0.277
CBaya,H,CBaya.H,RKHS,-0.106
CBaya,H,CBaya.H,RKHS,0.062
CBaya,H,CBaya.H,RKHS,0.046
CBaya,H,CBaya.H,RKHS,0.07
CBaya,H,CBaya.H,RKHS,0.085
CBaya,H,CBaya.H,RKHS,0.198
CBaya,H,CBaya.H,RKHS,-0.048
CBaya,H,CBaya.H,RKHS,0.044
CBaya,H,CBaya.H,Lasso,-0.102
CBaya,H,CBaya.H,Lasso,0.115
CBaya,H,CBaya.H,Lasso,0.098
CBaya,H,CBaya.H,Lasso,0.09
CBaya,H,CBaya.H,Lasso,0.1
CBaya,H,CBaya.H,Lasso,NA
CBaya,H,CBaya.H,Lasso,0.075
CBaya,H,CBaya.H,Lasso,NA
CBaya,H,CBaya.H,Lasso,0.094
CBaya,H,CBaya.H,Lasso,0.01
CBaya,H,CBaya.H,Lasso,0.043
CBaya,H,CBaya.H,Lasso,0.03
CBaya,H,CBaya.H,Lasso,-0.01
CBaya,H,CBaya.H,Lasso,0.034
CBaya,H,CBaya.H,Lasso,-0.076
CBaya,H,CBaya.H,Lasso,0.062
CBaya,H,CBaya.H,Lasso,0.053
CBaya,H,CBaya.H,Lasso,NA
CBaya,H,CBaya.H,Lasso,-0.096
CBaya,H,CBaya.H,Lasso,0.186
CBaya,H,CBaya.H,Lasso,NA
CBaya,H,CBaya.H,Lasso,0.18
CBaya,H,CBaya.H,Lasso,NA
CBaya,H,CBaya.H,Lasso,NA
CBaya,H,CBaya.H,Lasso,-0.019
