,BA,BB
15061364,34.581,34.535
15061365,35.715,36.053
15061367,35.73,36.031
15061369,35.443,35.706
15061376,37.221,36.923
15061378,34.513,34.302
15061380,32.513,32.749
15061382,32.708,33.027
15061383,34.517,34.486
15061384,30.211,30.483
15061388,34.317,34.003
15061390,33.337,33.195
15061391,33.33,33.183
15061392,33.981,34.299
15061394,30.997,31.707
15061396,30.974,31.693
15061404,33.37,33.203
15061406,34.562,34.505
15061410,41.663,40.699
15061411,33.754,33.362
15061414,33.362,33.209
15061415,38.698,38.333
15061417,33.315,33.187
15061418,33.37,33.231
15061419,30.248,30.504
15061420,41.064,40.469
15061421,37.07,36.978
15061422,37.714,37.395
15061424,35.571,35.385
15061425,37.261,36.958
15061428,37.223,36.924
15061430,37.189,36.895
15061435,33.747,33.934
15061436,36.225,36.311
15061437,35.082,34.915
15061439,35.023,34.895
15061441,32.172,32.672
15061442,33.581,33.274
15061444,35.106,35.192
15061445,32.225,32.681
15061447,36.096,35.559
15061449,34.595,34.541
15061454,34.525,34.441
15061458,37.258,36.924
15061459,33.388,33.216
15061461,37.254,36.922
15061463,37.644,36.673
15061469,34.774,34.558
15061470,35.17,35.423
15061471,35.057,35.307
15061475,37.034,36.856
15061476,34.255,33.995
15061478,30.244,30.488
15061479,37.57,37.263
15061480,32.203,32.685
15061481,37.791,37.401
15061484,33.919,33.563
15061485,36.085,36.216
15061486,37.328,36.941
15061489,33.338,33.195
15061490,33.292,33.187
15061491,33.361,33.204
15061492,33.298,33.19
15061493,32.524,32.797
15061494,34.509,34.649
15061495,32.451,32.771
15061496,32.469,32.692
15061499,37.785,37.374
15061500,36.13,36.246
15061501,33.151,33.301
15061503,37.168,36.615
15061504,32.866,33.074
15061505,37.521,37.813
15061507,33.669,33.313
15061508,33.656,33.333
15061509,30.5,31.097
15061511,30.633,31.136
15061515,30.965,31.689
15061516,33.147,33.309
15061517,34.673,34.587
15061518,37.192,37.052
15061521,32.487,32.745
15061522,32.334,31.563
15061524,34.453,34.627
15061525,33.669,33.311
15061526,34.963,34.678
15061528,32.295,32.836
15061529,30.485,31.079
15061530,33.727,33.327
15061533,33.379,33.017
15061534,29.586,30.04
15061535,32.177,32.556
15061536,33.271,33.065
15061540,37.875,37.363
15061542,38.013,37.477
15061543,35.243,35.434
15061544,29.995,30.548
15061546,30.066,30.567
15061548,36.189,35.664
15061549,33.856,33.915
15061550,35.393,35.3
15061553,38.817,38.994
15061555,36.815,36.335
15061556,35.762,35.626
15061560,39.503,39.624
15061561,33.716,34.882
15061564,37.368,37.162
