"","nMarkers","HCLTraits","Traits","HCLs","Models","Means"
"223",60,"CPFlor.C","CPFlor","C","BL",0.63924
"224",60,"CPFlor.H","CPFlor","H","RKHS",0.87504
"225",60,"CPFlor.L","CPFlor","L","BA",0.65468
"226",60,"CPTuber.C","CPTuber","C","RKHS",0.5734
"227",60,"CPTuber.H","CPTuber","H","RKHS",0.46616
"228",60,"CPTuber.L","CPTuber","L","GBLUP",0.53908
"229",60,"CPulpa.C","CPulpa","C","BRR",0.49328
"230",60,"CPulpa.H","CPulpa","H","GBLUP",0.38188
"231",60,"CPulpa.L","CPulpa","L","BA",0.45148
"232",60,"CSBrote.C","CSBrote","C","BL",0.25684
"233",60,"CSBrote.H","CSBrote","H","BRR",0.2178
"234",60,"CSBrote.L","CSBrote","L","BL",0.3102
"235",60,"CSPulpa.C","CSPulpa","C","BL",0.23056
"236",60,"CSPulpa.H","CSPulpa","H","BRR",0.09636
"237",60,"CSPulpa.L","CSPulpa","L","BL",0.3424
"238",60,"CSTuber.C","CSTuber","C","BC",0.21872
"239",60,"CSTuber.H","CSTuber","H","GBLUP",0.19772
"240",60,"CSTuber.L","CSTuber","L","GBLUP",0.38616
"241",60,"CTallo.C","CTallo","C","GBLUP",0.69828
"242",60,"CTallo.H","CTallo","H","GBLUP",0.48612
"243",60,"CTallo.L","CTallo","L","GBLUP",0.72388
"244",70,"CBaya.C","CBaya","C","GBLUP",0.16732
"245",70,"CBaya.H","CBaya","H","BRR",0.10344
"246",70,"CBaya.L","CBaya","L","GBLUP",0.14288
"247",70,"CPBrote.C","CPBrote","C","GBLUP",0.595
"248",70,"CPBrote.H","CPBrote","H","BRR",0.35296
"249",70,"CPBrote.L","CPBrote","L","GBLUP",0.45716
"250",70,"CPFlor.C","CPFlor","C","BA",0.62384
"251",70,"CPFlor.H","CPFlor","H","GBLUP",0.8592
"252",70,"CPFlor.L","CPFlor","L","RKHS",0.6502
"253",70,"CPTuber.C","CPTuber","C","BA",0.55492
"254",70,"CPTuber.H","CPTuber","H","BA",0.47784
"255",70,"CPTuber.L","CPTuber","L","GBLUP",0.5236
"256",70,"CPulpa.C","CPulpa","C","BRR",0.47316
"257",70,"CPulpa.H","CPulpa","H","RKHS",0.36764
"258",70,"CPulpa.L","CPulpa","L","RKHS",0.44696
"259",70,"CSBrote.C","CSBrote","C","BA",0.24492
"260",70,"CSBrote.H","CSBrote","H","RKHS",0.22396
"261",70,"CSBrote.L","CSBrote","L","RKHS",0.30632
"262",70,"CSPulpa.C","CSPulpa","C","GBLUP",0.226
"263",70,"CSPulpa.H","CSPulpa","H","GBLUP",0.12204
"264",70,"CSPulpa.L","CSPulpa","L","BL",0.33996
"265",70,"CSTuber.C","CSTuber","C","RKHS",0.192
"266",70,"CSTuber.H","CSTuber","H","GBLUP",0.15616
"267",70,"CSTuber.L","CSTuber","L","RKHS",0.37124
"268",70,"CTallo.C","CTallo","C","GBLUP",0.68916
"269",70,"CTallo.H","CTallo","H","GBLUP",0.4832
"270",70,"CTallo.L","CTallo","L","GBLUP",0.71848
"271",80,"CBaya.C","CBaya","C","GBLUP",0.15216
"272",80,"CBaya.H","CBaya","H","BC",0.09704
"273",80,"CBaya.L","CBaya","L","BC",0.12368
"274",80,"CPBrote.C","CPBrote","C","RKHS",0.60032
"275",80,"CPBrote.H","CPBrote","H","BC",0.3336
"276",80,"CPBrote.L","CPBrote","L","BRR",0.46072
"277",80,"CPFlor.C","CPFlor","C","RKHS",0.63584
"278",80,"CPFlor.H","CPFlor","H","BA",0.84996
"279",80,"CPFlor.L","CPFlor","L","RKHS",0.63628
"280",80,"CPTuber.C","CPTuber","C","RKHS",0.549
"281",80,"CPTuber.H","CPTuber","H","RKHS",0.4518
"282",80,"CPTuber.L","CPTuber","L","RKHS",0.51016
"283",80,"CPulpa.C","CPulpa","C","BC",0.46956
"284",80,"CPulpa.H","CPulpa","H","RKHS",0.34712
"285",80,"CPulpa.L","CPulpa","L","BL",0.44812
"286",80,"CSBrote.C","CSBrote","C","BA",0.25556
"287",80,"CSBrote.H","CSBrote","H","BRR",0.21344
"288",80,"CSBrote.L","CSBrote","L","BA",0.30052
"289",80,"CSPulpa.C","CSPulpa","C","RKHS",0.21956
"290",80,"CSPulpa.H","CSPulpa","H","BA",0.08616
"291",80,"CSPulpa.L","CSPulpa","L","BC",0.35488
"292",80,"CSTuber.C","CSTuber","C","RKHS",0.19824
"293",80,"CSTuber.H","CSTuber","H","BRR",0.15732
"294",80,"CSTuber.L","CSTuber","L","GBLUP",0.37656
"295",80,"CTallo.C","CTallo","C","BA",0.67392
"296",80,"CTallo.H","CTallo","H","RKHS",0.47056
"297",80,"CTallo.L","CTallo","L","BC",0.71752
