SAMPLES,Baya.LCH.C,Baya.LCH.C.GEBV,Baya.LCH.H,Baya.LCH.H.GEBV,Baya.LCH.L,Baya.LCH.L.GEBV,PriBrote.LCH.C,PriBrote.LCH.C.GEBV,PriBrote.LCH.L,PriBrote.LCH.L.GEBV,SecTuber.LCH.C,SecTuber.LCH.C.GEBV,Tallo.LCH.L,Tallo.LCH.L.GEBV
15061718,40.652,44,117.398,128,56.62251,54,30.42,26,32.054,33,36.07968,36,49.901,49
15061486,46.863,44,118.674,117,58.47148,54,28.375,26,31.913,33,33.50024,35,49.901,54
15060214,46.863,44,116.333,117,59.60757,54,31.354,53,39.395,62,33.50164,37,45.365,54
15061333,43.703,44,118.433,117,57.25923,54,26.796,28,30.262,27,33.49641,36,45.365,54
15061962,46.863,44,115.993,117,58.47876,54,34.13,55,44.424,52,36.08062,29,42.496,54
15061624,46.863,44,116.333,117,59.63521,54,29.622,55,37.28,36,36.07906,42,42.496,54
15061282,43.703,32,117.156,112,57.34716,58,36.44,28,37.493,27,33.50727,6,49.901,54
15061529,46.863,48,116.333,118,59.67734,66,28.375,26,33.88,33,36.0864,39,45.365,54
15061935,46.863,59,115.993,106,58.56701,69,34.13,57,44.424,54,36.07825,41,42.496,54
15061568,43.703,44,115.752,117,57.78615,54,42.217,49,39.395,54,33.49996,37,49.901,54
15061491,46.863,59,118.674,106,59.30085,69,37.218,58,42.445,48,36.08435,41,42.496,28
15061318,46.846,44,117.156,117,59.21401,54,24.847,20,31.7,26,36.08477,41,45.365,54
15061361,43.703,44,116.333,117,56.84066,54,24.847,20,30.824,26,36.08001,41,45.365,54
15061515,43.812,32,117.156,112,57.23502,58,24.563,26,33.571,33,36.0876,31,45.365,45
15062123,46.863,44,116.333,117,61.86602,54,31.911,20,33.88,26,33.49102,37,49.901,54
15061358,46.863,38,116.333,132,61.84275,53,34.044,28,38.444,27,33.50439,36,49.901,54
15061428,46.863,48,115.51,118,61.73767,66,50.819,58,45.115,48,36.08452,42,49.901,54
15061496,43.812,44,117.156,117,59.37573,54,27.547,26,30.262,33,36.0794,41,49.901,28
15061648,46.863,48,116.575,118,61.77537,66,43.475,20,40.45,26,33.50346,37,45.365,53
15061808,37.602,48,117.156,118,55.35736,66,35.316,47,37.28,36,35.36852,29,43.334,54
15061600,43.812,44,117.156,117,59.36072,54,29.622,43,37.28,61,36.07512,32,49.901,54
15061730,43.812,28,119.256,115,57.22896,50,31.431,39,39.767,42,33.50339,41,45.365,28
15061623,46.863,48,116.333,118,61.79016,66,34.044,20,38.444,26,33.49052,42,49.901,54
15061405,43.703,28,117.156,115,57.38189,50,36.44,20,37.493,26,33.50587,35,49.901,54
