,BA,BB
15061553,42.686,42.353
15061555,39.335,39.214
15061556,38.313,38.119
15061560,45.561,45.648
15061561,29.963,27.868
15061564,43.409,44.17
15061565,34.407,34.319
15061566,15.233,14.805
15061568,40.482,43.444
15061571,38.098,39.691
15061575,27.173,26.953
15061576,36.937,37.047
15061577,30.592,29.596
15061578,30.378,29.567
15061579,16.917,16.13
15061580,34.182,33.657
15061583,39.92,40.396
15061584,38.894,38.13
15061585,37.153,37.119
15061586,37.223,37.236
15061588,38.551,37.638
15061600,39.189,42.003
15061602,38.366,37.292
15061603,15.565,15.491
15061604,42.254,44.315
15061605,45.286,44.805
15061608,37.379,37.268
15061609,15.864,15.525
15061610,33.904,33.533
15061612,23.489,21.155
15061613,39.784,40.062
15061619,17.271,16.32
15061621,23.634,22.685
15061622,35.17,36.205
15061623,41.396,41.217
15061624,16.509,16.216
15061628,38.929,38.426
15061631,20.729,22.27
15061632,39.769,40.078
15061637,41.533,41.218
15061638,41.66,41.528
15061639,30.569,31.561
15061640,21.373,20.496
15061642,41.272,41.704
15061645,20.216,19.286
15061646,37.865,38.391
15061647,41.488,41.478
15061648,36.105,36.754
15061649,41.2,40.322
15061650,42.476,41.553
15061651,36.713,38.686
15061653,43.078,43.363
15061654,39.843,40.018
15061655,46.997,47.281
15061658,40.354,40.283
15061659,37.125,37.432
15061661,40.214,40.207
15061662,32.396,32.42
15061665,42.991,44.056
15061668,43.019,43.969
15061670,30.572,31.622
15061671,36.41,37.238
15061673,30.321,26.389
15061677,17.924,17.738
15061678,17.695,17.41
15061679,27.872,26.486
15061680,30.4,31.406
15061682,41.508,41.366
15061683,33.994,33.61
15061684,41.847,44.161
15061686,34.038,33.637
15061687,37.746,34.639
15061688,34.102,33.602
15061689,17.691,17.394
15061704,41.442,41.501
15061706,40.494,41.185
15061709,40.564,40.471
15061712,32.633,32.881
15061713,41.657,41.578
15061714,27.304,26.644
15061717,33.009,34.675
15061718,32.406,32.57
15061720,27.46,25.63
15061723,23.619,22.495
