Prefix,HCL_component,Traits,Models,Predictive_ability
CPBrote,L,CPBrote.L,SVM,0.457
CPBrote,L,CPBrote.L,SVM,0.429
CPBrote,L,CPBrote.L,SVM,0.427
CPBrote,L,CPBrote.L,SVM,0.501
CPBrote,L,CPBrote.L,RF,0.406
CPBrote,L,CPBrote.L,RF,0.427
CPBrote,L,CPBrote.L,RF,0.428
CPBrote,L,CPBrote.L,RF,0.504
CPFlor,C,CPFlor.C,BA,0.225
CPFlor,C,CPFlor.C,BA,0.237
CPFlor,C,CPFlor.C,BA,0.247
CPFlor,C,CPFlor.C,BA,0.166
CPFlor,C,CPFlor.C,BB,0.251
CPFlor,C,CPFlor.C,BB,0.185
CPFlor,C,CPFlor.C,BB,0.155
CPFlor,C,CPFlor.C,BB,0.173
CPFlor,C,CPFlor.C,BC,0.231
CPFlor,C,CPFlor.C,BC,0.253
CPFlor,C,CPFlor.C,BC,0.215
CPFlor,C,CPFlor.C,BC,0.217
CPFlor,C,CPFlor.C,BL,0.192
CPFlor,C,CPFlor.C,BL,0.183
CPFlor,C,CPFlor.C,BL,0.162
CPFlor,C,CPFlor.C,BL,0.163
CPFlor,C,CPFlor.C,BRR,0.227
CPFlor,C,CPFlor.C,BRR,0.244
CPFlor,C,CPFlor.C,BRR,0.168
CPFlor,C,CPFlor.C,BRR,0.134
CPFlor,C,CPFlor.C,GBLUP,0.18
CPFlor,C,CPFlor.C,GBLUP,0.174
CPFlor,C,CPFlor.C,GBLUP,0.178
CPFlor,C,CPFlor.C,GBLUP,0.153
CPFlor,C,CPFlor.C,EGBLUP,0.149
CPFlor,C,CPFlor.C,EGBLUP,0.18
CPFlor,C,CPFlor.C,EGBLUP,0.136
CPFlor,C,CPFlor.C,EGBLUP,0.111
CPFlor,C,CPFlor.C,RKHS,0.281
CPFlor,C,CPFlor.C,RKHS,0.23
CPFlor,C,CPFlor.C,RKHS,0.112
CPFlor,C,CPFlor.C,RKHS,0.118
CPFlor,C,CPFlor.C,Lasso,NA
CPFlor,C,CPFlor.C,Lasso,0.181
